yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2022,ALWC1,arozara01,TBA,AL,2,9,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0
2023,ALWC1,arozara01,TBA,AL,2,8,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0
2019,ALDS2,arraelu01,MIN,AL,3,11,1,5,4,0,0,1,0,0,0,2,0,0,0,0,1
2020,ALWC3,arraelu01,MIN,AL,2,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2023,NLWC2,arraelu01,MIA,NL,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLDS2,arraelu01,SDN,NL,5,22,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1
2024,NLWC2,arraelu01,SDN,NL,2,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,NLCS,arrieja01,CHN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,NLDS1,arrieja01,CHN,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015,NLWC,arrieja01,CHN,NL,1,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0
2016,NLDS1,arrieja01,CHN,NL,1,3,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0
2016,NLCS,arrieja01,CHN,NL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016,WS,arrieja01,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NLCS,arrieja01,CHN,NL,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,NLDS2,arrieja01,CHN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,ALDS2,arroych01,BOS,AL,4,16,1,5,1,0,0,0,0,0,0,2,0,0,1,0,0
2021,ALWC,arroych01,BOS,AL,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,ALCS,arroych01,BOS,AL,6,19,3,4,0,1,1,3,0,0,0,4,0,0,1,0,1
2021,NLDS1,ashbyaa01,MIL,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,NLWC1,ashbyaa01,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,ALWC3,astudwi01,MIN,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,NLCS,avilaal01,CHN,NL,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
