playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
festama01,2022,ALDS2,SEA,AL,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0
festama01,2022,ALWC2,SEA,AL,0,0,1,0,0,0,0,4,1,1,0,0,0,0.2,6.75,0,0,0,0,5,0,1,0,0,0
feyerjo01,2021,ALDS2,TBA,AL,0,1,3,0,0,0,0,11,6,1,0,0,2,0.429,2.45,0,0,0,0,17,2,1,2,1,0
fieldjo03,2015,ALDS1,HOU,AL,0,0,2,0,0,0,0,5,1,2,1,2,4,0.167,10.8,0,0,0,0,8,1,2,0,0,0
fieldjo03,2016,NLCS,LAN,NL,0,0,2,0,0,0,0,4,1,0,0,0,1,0.2,0,0,0,0,0,5,0,0,0,0,0
fieldjo03,2016,NLDS2,LAN,NL,0,0,2,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0
fieldjo03,2017,NLCS,LAN,NL,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
fieldjo03,2017,NLDS1,LAN,NL,0,0,1,0,0,0,0,1,1,0,0,0,1,0.5,0,0,0,0,0,2,0,0,0,0,0
fieldjo03,2017,WS,LAN,NL,0,0,1,0,0,0,0,0,3,2,2,0,0,1,,0,0,0,0,3,0,2,0,0,0
fiersmi01,2015,ALDS1,HOU,AL,0,0,1,0,0,0,0,3,1,1,0,0,0,0.5,9,0,0,0,0,4,0,1,1,1,0
fiersmi01,2020,ALWC4,OAK,AL,0,0,1,1,0,0,0,5,5,1,1,1,2,0.5,5.4,0,0,0,0,11,0,1,0,0,0
fistedo01,2017,ALDS2,BOS,AL,0,0,1,1,0,0,0,4,4,3,1,1,1,0.5,20.25,0,1,0,0,9,0,3,0,0,0
flaheja01,2019,NLCS,SLN,NL,0,1,1,1,0,0,0,12,5,4,0,2,6,0.333,9,0,1,0,0,19,0,4,2,0,0
flaheja01,2019,NLDS2,SLN,NL,1,1,2,2,0,0,0,39,12,4,2,2,16,0.24,2.77,0,2,1,0,53,0,4,0,0,0
flaheja01,2020,NLWC2,SLN,NL,0,1,1,1,0,0,0,18,6,1,0,2,8,0.25,1.5,0,0,0,0,26,0,1,0,0,0
flaheja01,2023,ALDS1,BAL,AL,0,0,1,0,0,0,0,6,2,1,0,3,1,0.286,4.5,0,0,0,0,10,0,1,0,0,1
flaheja01,2024,WS,LAN,NL,0,0,2,2,0,0,0,20,9,6,3,2,7,0.31,8.1,0,0,0,0,31,0,6,0,0,1
flaheja01,2024,NLDS2,LAN,NL,0,1,1,1,0,0,0,16,5,4,2,1,2,0.25,6.75,0,0,1,0,22,0,4,0,0,1
flaheja01,2024,NLCS,LAN,NL,1,1,2,2,0,0,0,30,10,8,1,6,6,0.256,7.2,0,0,0,0,45,0,8,0,0,0
flemijo01,2020,ALCS,TBA,AL,0,0,1,0,0,0,0,9,3,2,0,1,1,0.273,6,0,0,0,0,12,0,2,0,0,1
flemijo01,2020,WS,TBA,AL,0,0,1,0,0,0,0,8,5,2,1,1,2,0.417,6.75,0,0,0,0,13,0,2,0,0,1
flemijo01,2021,ALDS2,TBA,AL,0,0,2,0,0,0,0,3,3,0,0,0,1,0.5,0,0,0,0,0,6,0,0,0,0,0
florody01,2018,NLCS,LAN,NL,0,0,5,0,0,0,0,13,3,0,0,2,5,0.214,0,0,0,0,0,16,1,0,0,0,1
florody01,2018,NLDS2,LAN,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
