playerID,awardID,yearID,lgID,tie,notes
rasmuco01,Player of the Week,2016,AL,,Week of 2016-04-23
rayro02,Player of the Week,2016,NL,,Week of 2016-08-20
rendoan01,Comeback Player of the Year,2016,NL,,
renfrhu01,Player of the Week,2016,NL,,Week of 2016-10-01
rizzoan01,Gold Glove,2016,NL,,1B
rizzoan01,Platinum Glove,2016,NL,,
rizzoan01,Silver Slugger,2016,NL,,1B
rizzoan01,This Year in Baseball Best Play - Defense,2016,ML,,Esurance
rizzoan01,This Year in Baseball Best Play - Defense,2016,ML,,Esurance
rizzoan01,This Year in Baseball Best Social Media Personality,2016,ML,,Esurance
rodrise01,Player of the Week,2016,NL,Y,Week of 2016-09-17
salazda01,Pitcher of the Month,2016,AL,,June
sanchga02,Player of the Month,2016,AL,,August
sanchga02,Player of the Week,2016,AL,,Week of 2016-08-20
sanchga02,Player of the Week,2016,AL,,Week of 2016-08-27
sanchga02,Rookie of the Month,2016,AL,,August
santaca01,Player of the Week,2016,AL,Y,Week of 2016-09-24
scherma01,Cy Young Award,2016,NL,,
scherma01,This Year in Baseball Best Performance,2016,ML,,Esurance
scherma01,This Year in Baseball Best Pitcher,2016,ML,,Esurance
scherma01,TSN All-Star,2016,NL,,SP
scherma01,TSN Pitcher of the Year,2016,NL,,
schimry01,Rookie of the Month,2016,NL,,July
seageco01,MLB Players Choice Outstanding Rookie,2016,NL,,
seageco01,Rookie of the Month,2016,NL,,June
seageco01,Rookie of the Year,2016,NL,,Unanimous
seageco01,Silver Slugger,2016,NL,,SS
seageco01,This Year in Baseball Best Rookie,2016,ML,,Esurance
seageco01,TSN All-Star,2016,NL,,SS
seageco01,TSN Rookie of the Year,2016,NL,,
shoemma01,Player of the Week,2016,AL,,Week of 2016-07-16
stantmi03,Player of the Week,2016,NL,,Week of 2016-07-09
storytr01,Player of the Week,2016,NL,,Week of 2016-04-09
storytr01,Player of the Week,2016,NL,,Week of 2016-07-23
storytr01,Rookie of the Month,2016,NL,,April
strasst01,Pitcher of the Month,2016,NL,,July
suzukic01,Player of the Week,2016,NL,Y,Week of 2016-08-06
syndeno01,Player of the Week,2016,NL,,Week of 2016-05-21
troutmi01,Most Valuable Player,2016,AL,,
troutmi01,Silver Slugger,2016,AL,,OF
troutmi01,This Year in Baseball Best Major Leaguer,2016,ML,,Esurance
troutmi01,TSN All-Star,2016,AL,,OF
trumbma01,MLB Players Choice Comeback Player,2016,AL,,
trumbma01,Player of the Week,2016,AL,Y,Week of 2016-04-16
trumbma01,Silver Slugger,2016,AL,,OF
trumbma01,TSN Comeback Player of the Year,2016,AL,,
turnetr01,Rookie of the Month,2016,NL,,September
turnetr01,Rookie of the Month,2016,NL,,August
uptonju01,Player of the Week,2016,AL,Y,Week of 2016-09-24
vargake01,Player of the Week,2016,AL,,Week of 2016-07-09
verlaju01,Pitcher of the Month,2016,AL,,July
whitety01,Player of the Week,2016,AL,,Week of 2016-04-09
yelicch01,Silver Slugger,2016,NL,,OF
yelicch01,TSN All-Star,2016,NL,,OF
zieglbr01,Bob Feller Act of Valor Award - MLB Player,2016,ML,,
