playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
marteke01,2022,1,ARI,NL,137,,492,68,118,42,2,12,52,5,1,55,101,3,6,0,5,12,
marteke01,2023,1,ARI,NL,150,150,569,94,157,26,9,25,82,8,2,71,109,2,5,0,5,16,
marteke01,2024,1,ARI,NL,136,136,504,93,147,23,2,36,95,7,1,65,106,7,5,0,9,9,0
marteke02,2016,1,PIT,NL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martelu02,2021,1,MIA,NL,4,,6,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0,
marteno01,2023,1,CIN,NL,34,35,114,15,36,7,0,3,15,6,2,8,25,0,1,0,0,1,
marteno01,2024,1,CIN,NL,66,66,229,24,48,9,0,4,18,9,3,9,75,0,3,0,1,1,0
martest01,2015,1,PIT,NL,153,,579,84,166,30,2,19,81,30,10,27,123,3,19,3,5,14,
martest01,2016,1,PIT,NL,129,,489,71,152,34,5,9,46,47,12,23,104,5,16,1,0,8,
martest01,2017,1,PIT,NL,77,,309,48,85,7,2,7,31,21,4,20,63,0,8,0,2,5,
martest01,2018,1,PIT,NL,145,,559,81,155,32,5,20,72,33,14,35,109,2,8,1,3,11,
martest01,2019,1,PIT,NL,132,,539,97,159,31,6,23,82,25,6,25,94,1,16,2,4,15,
martest01,2020,1,ARI,NL,33,,122,23,38,8,1,2,14,5,2,10,19,1,5,0,1,3,
martest01,2020,2,MIA,NL,28,,106,13,26,6,0,4,13,5,0,2,22,0,4,0,0,2,
martest01,2021,1,MIA,NL,64,,233,52,71,11,1,7,25,22,3,32,57,2,8,1,1,2,
martest01,2021,2,OAK,AL,56,,234,37,74,16,2,5,30,25,2,11,42,0,5,0,1,4,
martest01,2022,1,NYN,NL,118,,466,76,136,24,5,16,63,18,9,26,97,0,13,0,0,18,
martest01,2023,1,NYN,NL,86,86,315,38,78,7,1,5,28,24,4,16,69,1,8,2,0,8,
martest01,2024,1,NYN,NL,94,94,335,46,90,13,3,7,40,16,1,27,81,1,3,3,2,8,0
marteyu01,2022,1,SFN,NL,39,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marteyu01,2023,1,PHI,NL,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marteyu01,2024,1,PHI,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
martiad01,2022,1,OAK,AL,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martiad01,2023,1,OAK,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martian02,2024,1,CLE,AL,43,43,151,16,35,7,0,3,11,3,1,15,33,0,0,1,2,2,0
martiau01,2024,1,MIN,AL,93,93,233,41,59,18,1,1,16,7,3,20,47,0,2,2,0,4,0
martibr01,2019,1,TEX,AL,51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martibr01,2020,1,TEX,AL,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martibr01,2021,1,TEX,AL,66,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martibr01,2022,1,TEX,AL,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martica04,2015,1,SLN,NL,32,,56,2,8,2,0,0,0,0,0,1,23,0,1,5,0,1,
martica04,2016,1,SLN,NL,33,,59,5,14,1,0,0,6,0,0,0,13,0,1,4,1,1,
martica04,2017,1,SLN,NL,34,,62,5,11,3,0,0,11,0,0,1,19,0,1,5,0,1,
martica04,2018,1,SLN,NL,34,,33,1,8,2,0,1,4,0,0,0,11,0,0,2,1,0,
martica04,2019,1,SLN,NL,48,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
martica04,2020,1,SLN,NL,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martica04,2021,1,SLN,NL,16,,24,1,2,1,0,0,0,0,0,0,15,0,0,1,0,0,
martich02,2015,1,NYA,AL,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2018,1,TEX,AL,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2019,2,ATL,NL,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2019,1,TEX,AL,38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2020,1,ATL,NL,19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2021,1,ATL,NL,46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2022,1,CHN,NL,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2022,2,LAN,NL,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2023,1,BOS,AL,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martich02,2024,1,BOS,AL,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
