yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2022,NL,SFN,SFO03,2022-04-08,2022-10-02,81,81,2482686
2023,NL,SFN,SFO03,2023-04-07,2023-10-01,81,81,2500153
2024,NL,SFN,SFO03,2024-04-05,2024-09-29,81,80,2647736
2015,NL,SLN,STL10,2015-04-13,2015-09-27,81,81,3520889
2016,NL,SLN,STL10,2016-04-11,2016-10-02,81,81,3444490
2017,NL,SLN,STL10,2017-04-02,2017-10-01,81,81,3448337
2018,NL,SLN,STL10,2018-04-05,2018-09-26,81,81,3403587
2019,NL,SLN,STL10,2019-04-05,2019-09-29,81,81,3480393
2020,NL,SLN,STL10,2020-07-24,2020-09-27,27,0,0
2021,NL,SLN,STL10,2021-04-08,2021-10-03,81,80,2102530
2022,NL,SLN,STL10,2022-04-07,2022-10-02,81,81,3320551
2023,NL,SLN,LON01,2023-06-24,2023-06-25,2,2,110227
2023,NL,SLN,STL10,2023-03-30,2023-10-01,79,79,3130864
2024,NL,SLN,STL10,2024-04-04,2024-09-22,80,80,2869783
2024,NL,SLN,BIR01,2024-06-20,2024-06-20,1,1,8332
2015,AL,TBA,STP01,2015-04-06,2015-10-04,84,84,1287054
2016,AL,TBA,STP01,2016-04-03,2016-09-25,81,81,1286163
2017,AL,TBA,NYC20,2017-09-11,2017-09-13,3,3,49510
2017,AL,TBA,STP01,2017-04-02,2017-10-01,78,77,1204109
2018,AL,TBA,STP01,2018-03-29,2018-09-30,81,81,1154973
2019,AL,TBA,STP01,2019-03-28,2019-09-25,81,80,1178735
2020,AL,TBA,STP01,2020-07-24,2020-09-27,29,0,0
2021,AL,TBA,STP01,2021-04-09,2021-09-26,81,80,761072
2022,AL,TBA,STP01,2022-04-08,2022-09-25,81,81,1128127
2023,AL,TBA,STP01,2023-03-30,2023-09-24,81,81,1440301
2024,AL,TBA,STP01,2024-03-28,2024-09-22,81,81,1337739
2015,AL,TEX,ARL02,2015-04-10,2015-10-04,81,81,2491875
2016,AL,TEX,ARL02,2016-04-04,2016-10-02,81,81,2710402
2017,AL,TEX,ARL02,2017-04-03,2017-10-01,81,81,2507760
2018,AL,TEX,ARL02,2018-03-29,2018-09-23,81,81,2107107
2019,AL,TEX,ARL02,2019-03-28,2019-09-29,81,81,2132994
2020,AL,TEX,ARL03,2020-07-24,2020-09-27,30,0,0
2021,AL,TEX,ARL03,2021-04-05,2021-10-03,81,81,2110258
2022,AL,TEX,ARL03,2022-04-11,2022-10-05,81,81,2011361
2023,AL,TEX,ARL03,2023-03-30,2023-09-24,81,81,2533044
2024,AL,TEX,ARL03,2024-03-28,2024-09-22,81,81,2651553
2015,AL,TOR,TOR02,2015-04-13,2015-09-27,81,81,2794891
2016,AL,TOR,TOR02,2016-04-08,2016-09-29,81,81,3392099
2017,AL,TOR,TOR02,2017-04-11,2017-09-24,81,81,3203886
2018,AL,TOR,TOR02,2018-03-29,2018-09-26,81,80,2325281
2019,AL,TOR,TOR02,2019-03-28,2019-09-29,81,81,1750144
2020,AL,TOR,BUF05,2020-08-11,2020-09-27,26,0,0
2021,AL,TOR,BUF05,2021-06-01,2021-07-21,23,22,170130
2021,AL,TOR,DUN01,2021-04-08,2021-05-24,21,21,30936
2021,AL,TOR,TOR02,2021-07-30,2021-10-03,36,36,604835
2022,AL,TOR,TOR02,2022-04-08,2022-10-02,81,81,2653830
2023,AL,TOR,TOR02,2023-04-11,2023-10-01,81,81,3021904
2024,AL,TOR,TOR02,2024-04-08,2024-09-29,81,81,2681236
2015,NL,WAS,WAS11,2015-04-06,2015-09-28,81,81,2619843
2016,NL,WAS,WAS11,2016-04-07,2016-10-02,81,81,2481938
2017,NL,WAS,WAS11,2017-04-03,2017-10-01,81,81,2524980
2018,NL,WAS,WAS11,2018-04-05,2018-09-26,81,80,2529604
2019,NL,WAS,WAS11,2019-03-28,2019-09-29,81,81,2259781
2020,NL,WAS,WAS11,2020-07-23,2020-09-27,33,0,0
2021,NL,WAS,WAS11,2021-04-06,2021-10-03,81,80,1465543
2022,NL,WAS,WAS11,2022-04-07,2022-10-02,81,81,2026401
2023,NL,WAS,WAS11,2023-03-30,2023-09-24,80,80,1863359
2023,NL,WAS,WIL02,2023-08-20,2023-08-20,1,1,2473
2024,NL,WAS,WAS11,2024-04-01,2024-09-29,81,81,1967302
