playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
aquinar01,2020,CIN,NL,NLWC4,LF,1,1,37,0,0,0,0,0,,,
arciaor01,2018,MIL,NL,NLCS,SS,7,7,194,12,20,1,5,0,,,
arciaor01,2018,MIL,NL,NLDS1,SS,3,2,60,6,4,1,0,0,,,
arciaor01,2019,MIL,NL,NLWC,SS,1,1,24,1,6,0,0,0,,,
arciaor01,2020,MIL,NL,NLWC1,SS,2,2,48,1,2,0,2,0,,,
arciaor01,2022,ATL,NL,NLDS1,2B,4,3,84,2,6,0,1,0,,,
arciaor01,2023,ATL,NL,NLDS1,SS,4,4,96,3,10,0,3,0,,,
arciaor01,2024,ATL,NL,NLWC2,SS,2,2,48,2,3,0,0,,,,
arenano01,2017,COL,NL,NLWC,3B,1,1,24,0,2,0,0,0,,,
arenano01,2018,COL,NL,NLDS1,3B,3,3,80,3,6,0,2,0,,,
arenano01,2018,COL,NL,NLWC,3B,1,1,39,1,4,0,0,0,,,
arenano01,2021,SLN,NL,NLWC,3B,1,1,26,0,1,0,0,0,,,
arenano01,2022,SLN,NL,NLWC2,3B,2,2,54,2,7,0,0,0,,,
ariasga01,2022,CLE,AL,ALDS1,1B,3,3,78,18,3,0,1,0,,,
armstsh01,2022,TBA,AL,ALWC1,P,1,0,4,0,0,0,0,0,,,
armstsh01,2023,TBA,AL,ALWC1,P,1,0,3,0,0,0,0,0,,,
arozara01,2019,SLN,NL,NLDS2,CF,1,0,4,0,0,0,0,0,,,
arozara01,2019,SLN,NL,NLDS2,RF,1,0,3,1,0,0,0,0,,,
arozara01,2020,TBA,AL,ALCS,LF,5,5,127,5,1,0,0,0,,,
arozara01,2020,TBA,AL,ALDS1,LF,5,5,129,4,0,0,0,0,,,
arozara01,2020,TBA,AL,ALWC1,LF,1,1,24,1,0,0,0,0,,,
arozara01,2020,TBA,AL,WS,LF,3,3,75,4,0,0,0,0,,,
arozara01,2021,TBA,AL,ALDS2,LF,3,2,70,1,0,0,0,0,,,
arozara01,2021,TBA,AL,ALDS2,RF,2,2,47,5,0,0,0,0,,,
arozara01,2022,TBA,AL,ALWC1,LF,2,2,66,0,0,0,0,0,,,
arozara01,2023,TBA,AL,ALWC1,LF,2,2,54,5,0,0,0,0,,,
arraelu01,2019,MIN,AL,ALDS2,2B,3,3,69,5,5,0,4,0,,,
arraelu01,2019,MIN,AL,ALDS2,3B,1,0,3,0,0,0,0,0,,,
arraelu01,2020,MIN,AL,ALWC3,2B,2,2,54,2,2,0,0,0,,,
arraelu01,2023,MIA,NL,NLWC2,2B,2,2,48,1,2,0,0,0,,,
arraelu01,2024,SDN,NL,NLDS2,1B,4,4,105,36,4,0,2,,,,
arrieja01,2015,CHN,NL,NLCS,P,1,1,15,0,0,0,0,0,,,
arrieja01,2015,CHN,NL,NLDS1,P,1,1,17,0,1,0,0,0,,,
arrieja01,2015,CHN,NL,NLWC,P,1,1,27,1,1,0,0,0,,,
arrieja01,2016,CHN,NL,NLCS,P,1,1,15,0,1,0,0,0,,,
arrieja01,2016,CHN,NL,NLDS1,P,1,1,18,0,3,0,0,0,,,
arrieja01,2016,CHN,NL,WS,P,2,2,34,1,0,0,0,0,,,
arrieja01,2017,CHN,NL,NLCS,P,1,1,20,1,2,0,0,0,,,
arrieja01,2017,CHN,NL,NLDS2,P,1,1,12,0,1,0,0,0,,,
arroych01,2021,BOS,AL,ALCS,2B,6,6,150,15,18,0,5,0,,,
arroych01,2021,BOS,AL,ALDS2,2B,4,4,117,5,8,0,1,0,,,
arroych01,2021,BOS,AL,ALWC,2B,1,1,27,0,0,0,0,0,,,
ashbyaa01,2021,MIL,NL,NLDS1,P,2,0,8,0,0,0,0,0,,,
ashbyaa01,2024,MIL,NL,NLWC1,P,1,0,0,0,0,0,0,,,,
avilaal01,2017,CHN,NL,NLCS,C,1,0,3,0,1,0,0,0,0,,
avilaal01,2020,MIN,AL,ALWC3,C,1,0,6,1,0,0,0,0,0,,
avilalu01,2015,LAN,NL,NLDS2,P,2,0,4,0,0,0,0,0,,,
avilalu01,2016,LAN,NL,NLCS,P,2,0,7,0,0,0,0,0,,,
avilalu01,2016,LAN,NL,NLDS2,P,3,0,4,0,0,0,0,0,,,
avilape01,2024,CLE,AL,ALCS,P,3,0,12,0,0,0,0,,,,
azocajo01,2022,SDN,NL,NLDS2,LF,2,0,9,1,0,0,0,0,,,
baderha01,2019,SLN,NL,NLCS,CF,2,1,22,5,0,0,0,0,,,
baderha01,2019,SLN,NL,NLDS2,CF,4,2,75,2,0,0,0,0,,,
baderha01,2020,SLN,NL,NLWC2,CF,3,3,69,4,0,0,0,0,,,
baderha01,2021,SLN,NL,NLWC,CF,1,1,26,3,0,0,0,0,,,
baderha01,2022,NYA,AL,ALCS,CF,4,4,102,7,0,1,0,0,,,
baderha01,2022,NYA,AL,ALDS1,CF,5,5,137,8,0,1,0,0,,,
baderha01,2024,NYN,NL,NLDS1,CF,4,1,41,6,0,0,0,,,,
baderha01,2024,NYN,NL,NLCS,CF,5,1,36,3,0,0,0,,,,
baderha01,2024,NYN,NL,NLWC1,CF,3,0,12,1,0,0,0,,,,
baezja01,2015,CHN,NL,NLCS,SS,4,4,75,6,5,1,2,0,,,
baezja01,2015,CHN,NL,NLDS1,SS,2,1,42,0,2,1,0,0,,,
baezja01,2016,CHN,NL,NLDS1,1B,1,0,1,1,0,0,0,0,,,
